UTC_0_0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2021-03-03T00:35:18.00,45.4895,-123.2251,14,139.5933,14.0000
2021-03-03T00:35:19.00,45.4895,-123.2251,14,138.2850,14.0000
2021-03-03T00:35:20.00,45.4895,-123.2251,14,136.8795,14.0000
2021-03-03T00:35:21.00,45.4895,-123.2251,14,136.9645,14.0000
2021-03-03T00:35:22.00,45.4895,-123.2251,14,135.0391,14.0000
2021-03-03T00:35:23.00,45.4895,-123.2251,14,136.5005,14.0000
2021-03-03T00:35:24.00,45.4895,-123.2251,14,136.1571,14.0000
2021-03-03T00:35:25.00,45.4894,-123.2251,14,130.2716,14.0000
2021-03-03T00:35:26.00,45.4894,-123.2251,14,125.2143,14.0000
2021-03-03T00:35:27.00,45.4894,-123.2251,14,117.4964,14.0000
2021-03-03T00:35:28.00,45.4894,-123.2250,14,106.0255,14.0000
2021-03-03T00:35:29.00,45.4894,-123.2250,14, 90.9995,14.0000
2021-03-03T00:35:30.00,45.4894,-123.2249,14, 75.4862,14.0000
2021-03-03T00:35:31.00,45.4894,-123.2249,14, 65.3378,14.0000
2021-03-03T00:35:32.00,45.4894,-123.2248,14, 58.5749,14.0000
2021-03-03T00:35:33.00,45.4895,-123.2248,14, 50.8328,14.0000
2021-03-03T00:35:34.00,45.4895,-123.2247,14, 42.9562,14.0000
2021-03-03T00:35:35.00,45.4895,-123.2247,14, 34.3152,14.0000
2021-03-03T00:35:36.00,45.4895,-123.2247,14, 26.1331,14.0000
2021-03-03T00:35:37.00,45.4895,-123.2251,14, 20.2211,14.0000
2021-03-03T00:35:38.00,45.4895,-123.2251,14, 16.9563,14.0000
2021-03-03T00:35:39.00,45.4895,-123.2250,14, 15.7092,14.0000
2021-03-03T00:35:40.00,45.4896,-123.2250,14, 16.7873,14.0000
2021-03-03T00:35:41.00,45.4896,-123.2250,14, 19.2207,14.0000
2021-03-03T00:35:42.00,45.4896,-123.2250,14, 24.3166,14.0000
2021-03-03T00:35:43.00,45.4897,-123.2250,14, 30.3904,14.0000
