UTC+0.0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2016-11-03T18:35:27.564,0,0,0,0,0
2016-11-03T18:35:28.655,0,0,0,0,0
2016-11-03T18:35:29.746,0,0,0,0,0
2016-11-03T18:35:30.837,0,0,0,0,0
2016-11-03T18:35:31.940,0,0,0,0,0
2016-11-03T18:35:33.000,0,0,0,0,0
2016-11-03T18:35:34.122,0,0,0,0,0
2016-11-03T18:35:35.213,0,0,0,0,0
2016-11-03T18:35:36.304,0,0,0,0,0
2016-11-03T18:35:37.420,0,0,0,0,0
2016-11-03T18:35:38.511,0,0,0,0,0
2016-11-03T18:35:39.602,0,0,0,0,0
2016-11-03T18:35:40.693,0,0,0,0,0
2016-11-03T18:35:41.784,0,0,0,0,0
2016-11-03T18:35:42.874,0,0,0,0,0
2016-11-03T18:35:43.965,0,0,0,0,0
2016-11-03T18:35:45.000,0,0,0,0,0
2016-11-03T18:35:46.147,0,0,0,0,0
2016-11-03T18:35:47.241,0,0,0,0,0
2016-11-03T18:35:48.332,0,0,0,0,0
2016-11-03T18:35:49.423,0,0,0,0,0
2016-11-03T18:35:50.514,0,0,0,0,0
2016-11-03T18:35:51.605,0,0,0,0,0
2016-11-03T18:35:52.700,0,0,0,0,0
2016-11-03T18:35:53.791,0,0,0,0,0
2016-11-03T18:35:54.882,0,0,0,0,0
2016-11-03T18:35:55.973,0,0,0,0,0
2016-11-03T18:35:57.000,0,0,0,0,0
2016-11-03T18:35:58.157,0,0,0,0,0
2016-11-03T18:35:59.248,0,0,0,0,0
2016-11-03T18:36:00.339,0,0,0,0,0
2016-11-03T18:36:01.430,0,0,0,0,0
2016-11-03T18:36:02.521,0,0,0,0,0
2016-11-03T18:36:03.614,0,0,0,0,0
2016-11-03T18:36:04.705,0,0,0,0,0
2016-11-03T18:36:05.796,0,0,0,0,0
2016-11-03T18:36:06.887,0,0,0,0,0
2016-11-03T18:36:08.000,0,0,0,0,0
2016-11-03T18:36:09.000,0,0,0,0,0
2016-11-03T18:36:10.184,0,0,0,0,0
2016-11-03T18:36:11.275,0,0,0,0,0
2016-11-03T18:36:12.366,0,0,0,0,0
2016-11-03T18:36:13.461,0,0,0,0,0
2016-11-03T18:36:14.552,0,0,0,0,0
2016-11-03T18:36:15.643,0,0,0,0,0
2016-11-03T18:36:16.734,0,0,0,0,0
2016-11-03T18:36:17.825,0,0,0,0,0
2016-11-03T18:36:18.919,0,0,0,0,0
2016-11-03T18:36:20.000,0,0,0,0,0
2016-11-03T18:36:21.101,0,0,0,0,0
2016-11-03T18:36:22.191,0,0,0,0,0
2016-11-03T18:36:23.282,0,0,0,0,0
2016-11-03T18:36:24.377,0,0,0,0,0
2016-11-03T18:36:25.468,0,0,0,0,0
2016-11-03T18:36:26.559,0,0,0,0,0
2016-11-03T18:36:27.649,0,0,0,0,0
2016-11-03T18:36:28.743,0,0,0,0,0
2016-11-03T18:36:29.834,0,0,0,0,0
2016-11-03T18:36:30.925,0,0,0,0,0
2016-11-03T18:36:32.000,0,0,0,0,0
2016-11-03T18:36:33.106,0,0,0,0,0
2016-11-03T18:36:34.200,0,0,0,0,0
2016-11-03T18:36:35.291,0,0,0,0,0
2016-11-03T18:36:36.382,0,0,0,0,0
2016-11-03T18:36:37.473,0,0,0,0,0
2016-11-03T18:36:38.564,0,0,0,0,0
2016-11-03T18:36:39.668,0,0,0,0,0
2016-11-03T18:36:40.759,0,0,0,0,0
2016-11-03T18:36:41.850,0,0,0,0,0
2016-11-03T18:36:42.941,0,0,0,0,0
2016-11-03T18:36:44.000,0,0,0,0,0
2016-11-03T18:36:45.126,0,0,0,0,0
2016-11-03T18:36:46.217,0,0,0,0,0
2016-11-03T18:36:47.308,0,0,0,0,0
2016-11-03T18:36:48.399,0,0,0,0,0
2016-11-03T18:36:49.492,0,0,0,0,0
2016-11-03T18:36:50.583,0,0,0,0,0
2016-11-03T18:36:51.674,0,0,0,0,0
2016-11-03T18:36:52.765,0,0,0,0,0
2016-11-03T18:36:53.856,0,0,0,0,0
2016-11-03T18:36:54.951,0,0,0,0,0
2016-11-03T18:36:56.000,0,0,0,0,0
2016-11-03T18:36:57.133,0,0,0,0,0
2016-11-03T18:36:58.224,0,0,0,0,0
2016-11-03T18:36:59.314,0,0,0,0,0
2016-11-03T18:37:00.408,0,0,0,0,0
2016-11-03T18:37:01.499,0,0,0,0,0
2016-11-03T18:37:02.590,0,0,0,0,0
2016-11-03T18:37:03.681,0,0,0,0,0
2016-11-03T18:37:04.772,0,0,0,0,0
2016-11-03T18:37:05.863,0,0,0,0,0
2016-11-03T18:37:06.953,0,0,0,0,0
2016-11-03T18:37:08.000,0,0,0,0,0
2016-11-03T18:37:09.135,0,0,0,0,0
2016-11-03T18:37:10.251,0,0,0,0,0
2016-11-03T18:37:11.341,0,0,0,0,0
2016-11-03T18:37:12.432,0,0,0,0,0
2016-11-03T18:37:13.523,0,0,0,0,0
2016-11-03T18:37:14.614,0,0,0,0,0
2016-11-03T18:37:15.709,0,0,0,0,0
2016-11-03T18:37:16.800,0,0,0,0,0
2016-11-03T18:37:17.891,0,0,0,0,0
2016-11-03T18:37:18.982,0,0,0,0,0
2016-11-03T18:37:20.000,0,0,0,0,0
2016-11-03T18:37:21.167,0,0,0,0,0
2016-11-03T18:37:22.257,0,0,0,0,0
